id,name,slug
1,Castello di Albola,castello-di-albola
,,
3,La Bastide Saint-Dominique,la-bastide-saint-dominique
,,
5,Domaine Belle,domaine-belle
6,Château Bellevue,chateau-bellevue
,,
8,Graeme & Julie Bott,graeme-julie-bott
9,Casa Baricalino,casa-baricalino
,,
11,Patrizia Cencioni,patrizia-cencioni
12,Clos du Moulin aux Moines,clos-du-moulin-aux-moines
,,
14,De'Ricci,de-ricci
15,Denis Pere & Fils,denis-pere-fils
,,
17,Domaine R. DuBois & Fils,domaine-r-dubois-fils
18,Château La Croix-Laroque,chateau-la-croix-laroque
19,Podere Le Ripi,podere-le-ripi
20,Château Manos,chateau-manos
21,Château Maucamps,chateau-maucamps
22,Patriarche Père et Fils,patriarche-pere-et-fils
23,Domaine de Pelissols,domaine-de-pelissols
24,Château Pichon-Longueville Baron,chateau-pichon-longueville-baron
25,Domaine Les Vignes Devant,domaine-les-vignes-devant
26,Château Vieux Touron,chateau-vieux-touron
27,Poggio Grande,poggio-grande
28,Weingut Paulushof,weingut-paulushof
